Country Name,3 digit country code,Date,"Dimension 1: Methodology, Standards & Classifications (MSC)",Dimension 1: System of National Accounts in use,Dimension 1: National Accounts base year ,Dimension 1: Classification of national industry,Dimension 1: CPI base year,Dimension 1: Classification of household consumption,Dimension 1: Classification of status of employment,Dimension 1: Central government accounting status,Dimension 1: Compilation of government finance statistics,Dimension 1: Compilation of monetary and financial statistics,Dimension 1: SDDS/e-GDDS subscription,Dimension 1: CRVS,Dimension 1: Business process,Dimension 2: Censuses and Surveys (CS),Dimension 2: Population & Housing census,Dimension 2: Agriculture census,Dimension 2: Business/establishment census,Dimension 2: Household Survey on income/consumption/expenditure/budget/Integrated Survey ,Dimension 2: Agriculture survey,Dimension 2: Labor Force Survey,Dimension 2: Health/Demographic survey,Dimension 2: Business/establishment survey,Dimension 3: Availability of Key Indicators (AKI),Dimension 3: Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),"Dimension 3: Prevalence of stunting, height for age (% of children under 5)",Dimension 3: Food Insecurity Experience Scale,"Dimension 3: Mortality rate, under-5 (per 1,000 live births)",Dimension 3: Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,Dimension 3: Maternal Mortality,Dimension 3: People using safely managed drinking water services (% of population),Dimension 3: Access to electricity (% of population),"Dimension 3: Unemployment, total (% of total labor force) (national estimate)","Dimension 3: Manufacturing, value added (% of GDP)","Dimension 3: Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",Dimension 3: Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Dimension 3: Renewable energy consumption (% of total final energy consumption),Dimension 3: Households and NPISHs Final consumption expenditure (current LCU),Dimension 3: GNI (current LCU),Dimension 3: Quarterly GDP,"Dimension 3: Debt service (PPG and IMF only, % of exports of goods, services and primary income)",Dimension 4: Dissemination Practices & Openness (DPO),Dimension 4: NSO has an Advance Release Calendar and it is published ,Dimension 4: NSO has a listing of surveys and microdata sets (or NADA),Dimension 4: NSO has a data portal,Dimension 4: Timeseries indicators are available for download in reusable format for free,"Dimension 4: Metadata is available providing definition, methodology, standards or classifications for existing data series",Dimension 4: NSO has conducted a user satisfaction survey,Dimension 4: Geospatial data available on relevant agency website,SPI Overall Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2017,33.33333333333333,0.5,0,0,0,1,0,0.5,0.5,1,0.5,0,0,30,0,0.5,0,1,0,0.3,0.6,0,55.58823529411764,0,0.3,1,0.55,0.3,0.4,0,1,0.6,1,0,0.3,1,1,1,0,1,28.57142857142857,0,0,0,1,0,1,0,36.87324929971989,AF,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,NA,0.3,0.25,0.15,0.25,0.5,0.5,36296400
Angola,AGO,2017,37.5,0.5,0,1,0.5,1,0,0,0,1,0.5,0,0,40,1,0,1,0.6,0,0,0.3,0.3,47.94117647058823,0,0.3,1,0.15,0,0.4,0,1,0,1,0,0.3,1,1,1,0,1,0,0,0,0,0,0,0,0,31.360294117647058,AO,Luanda,13.242,-8.81155,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,Angola,0.15,0,0.15,0.25,0.5,0.5,29816748
Albania,ALB,2017,79.16666666666666,0.5,1,1,0.5,1,0,1,1,1,0.5,1,1,53.75,1,1,0,1,0,1,0.3,0,75.88235294117646,1,0.3,1,1,0,0,1,1,1,1,0.3,0.3,1,1,1,1,1,85.71428571428571,1,0,1,1,1,1,1,73.6283263305322,AL,Tirane,19.8172,41.3317,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Albania,0.5,0.5,0,0,0.5,0.5,2873457
Argentina,ARG,2017,45.83333333333333,1,0,0.5,0,1,0,1,0,0,1,1,0,61.25000000000001,1,1,0,1,0.3,1,0.3,0.3,62.35294117647059,0,0,1,1,0.3,1,0,0,1,1,0,0.3,1,1,1,1,1,71.42857142857143,1,1,0,1,1,0,1,60.21621148459384,AR,Buenos Aires,-58.4173,-34.6118,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,NA,0.5,0.5,0.5,0.5,0.5,0.5,44044811
Armenia,ARM,2017,83.33333333333334,0.5,1,1,0.5,1,1,0.5,0.5,1,1,1,1,61.25000000000001,1,1,0,1,0.3,1,0.6,0,83.52941176470588,1,0.3,1,1,0.3,1,1,1,1,1,0,0.6,1,1,1,1,1,85.71428571428571,1,1,1,1,1,1,0,78.45675770308124,AM,Yerevan,44.509,40.1596,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Armenia,0.5,0.5,0.5,0.5,0.5,0.5,2944809
Antigua and Barbuda,ATG,2017,29.166666666666668,0.5,0,0.5,0,0,0,0,0,1,0.5,1,0,25,1,1,0,0,0,0,0,0,26.176470588235293,0,0,0,0.15,0,1,0,0,0,1,0,0.3,1,0,1,0,0,0,0,0,0,0,0,0,0,20.08578431372549,AG,Saint John's,-61.8456,17.1175,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,IBD,XF,IBRD,NA,0.15,0,0.5,0.5,0,0,95426
Azerbaijan,AZE,2017,70.83333333333334,0.5,0,1,1,1,1,0.5,0,1,0.5,1,1,45,1,1,0,1,0,0.6,0,0,62.94117647058823,0,0.3,0,0.8,0.3,1,1,0,1,1,0,0.3,1,1,1,1,1,85.71428571428571,1,0,1,1,1,1,1,66.12219887955182,AZ,Baku,49.8932,40.3834,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Azerbaijan,0.3,0.5,0.5,0.5,0.5,0.5,9854033
Burundi,BDI,2017,33.33333333333333,0.5,0,0.5,0.5,1,0,0,0,1,0.5,0,0,31.25,1,0,0,0.6,0.3,0,0.6,0,47.05882352941177,0.15,0.3,0,0.4,0.3,0.25,0,1,0.3,1,0,0.3,1,1,1,0,1,42.857142857142854,1,1,0,0,1,0,0,38.624824929971986,BI,Bujumbura,29.3639,-3.3784,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Burundi,0.15,0.25,0,0.25,0.5,0.5,10827024
Benin,BEN,2017,29.166666666666668,0,0.5,0.5,0.5,0,0,0,0.5,1,0.5,0,0,57.49999999999999,1,0,1,1,0,1,0.6,0,50,0.15,0.3,0,0.75,0.3,0.4,0,1,0,1,0.3,0.3,1,1,1,0,1,28.57142857142857,0,1,0,0,1,0,0,41.30952380952381,BJ,Porto-Novo,2.6323,6.4779,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Benin,0.5,0.25,0.15,0.25,0.5,0.5,11175204
Burkina Faso,BFA,2017,33.33333333333333,0.5,0,0.5,0.5,1,0,0,0,1,0.5,0,0,42.5,0.5,1,0,1,0.3,0,0.3,0.3,54.11764705882352,0.15,1,1,0.15,0.3,0,0,1,0.3,1,0,0.3,1,1,1,0,1,42.857142857142854,0,1,1,1,0,0,0,43.20203081232493,BF,Ouagadougou,-1.53395,12.3605,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Burkina Faso,0.15,0,0,0,0.5,0.5,19193284
Bangladesh,BGD,2017,25,0.5,0,1,0,0,0,0,0,1,0.5,0,0,61.25000000000001,1,1,0,0.6,0,1,1,0.3,72.6470588235294,0.15,0.6,1,1,0.6,0.4,1,1,1,1,0.3,0.3,1,1,1,0,1,28.57142857142857,0,1,0,0,1,0,0,46.86712184873949,BD,Dhaka,90.4113,23.7055,SAS,8S,South Asia,SAS,8S,South Asia,LMC,XN,Lower middle income,IDX,XI,IDA,Bangladesh,0.5,0.5,0.15,0.25,0.5,0.5,159670593
Bulgaria,BGR,2017,87.5,0.5,1,1,1,1,1,1,1,1,1,1,0,62.5,1,1,0,1,1,1,0,0,77.6470588235294,1,0.3,1,1,0.3,1,1,0,1,1,0,0.6,1,1,1,1,1,71.42857142857143,1,0,1,1,1,1,0,74.76890756302521,BG,Sofia,23.3238,42.7105,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Bulgaria,0.5,0.5,0.5,0.5,0.5,0.5,7075947
Bosnia and Herzegovina,BIH,2017,66.66666666666666,0.5,1,1,0.5,1,0,1,0.5,1,0.5,1,0,41.25,1,0,0,1,0,1,0.3,0,70.58823529411765,0,0.3,1,1,0,0.8,1,0.6,1,1,0,0.3,1,1,1,1,1,28.57142857142857,1,0,0,0,1,0,0,51.769082633053216,BA,Sarajevo,18.4214,43.8607,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Bosnia and Herzegovina,0.5,0.5,0.3,0.5,0.5,0.5,3351527
Belarus,BLR,2017,79.16666666666666,0.5,1,1,1,1,0,0.5,0.5,1,1,1,1,32.5,1,0,0,1,0,0.3,0.3,0,66.47058823529412,1,0,0,1,0,1,1,0,1,1,0,0.3,1,1,1,1,1,57.14285714285714,1,0,1,0,1,1,0,58.82002801120448,BY,Minsk,27.5766,53.9678,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Belarus,0.5,0.5,0.5,0.5,0.5,0.5,9498264
Belize,BLZ,2017,29.166666666666668,0.5,0,0.5,0,1,0,0,0,1,0.5,0,0,61.25000000000001,1,1,0,1,0,1,0.6,0.3,56.470588235294116,0,0.3,0,1,0,1,0,1,1,1,0,0.3,1,1,1,0,1,42.857142857142854,1,0,0,1,0,0,1,47.43609943977591,BZ,Belmopan,-88.7713,17.2534,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Belize,0.5,0.5,0.5,0.5,0.5,0.5,375769
Bolivia,BOL,2017,16.666666666666664,0,0,0.5,0,0,0,0,0,1,0.5,0,0,56.25,1,1,0,1,0.6,0.6,0.3,0,55.58823529411764,1,0.6,0,0.4,0,0.15,0,0,1,1,0,0.3,1,1,1,1,1,42.857142857142854,0,1,0,1,0,0,1,42.84051120448179,BO,La Paz,-66.1936,-13.9908,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,Bolivia,0.15,0.25,0.15,0,0.5,0.5,11192854
Brazil,BRA,2017,54.166666666666664,1,0,1,0.5,1,0,1,0,1,1,0,0,56.25,1,0.5,0,1,1,1,0,0,66.76470588235294,1,0,0,1,0.3,0.75,0,1,1,1,0,0.3,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,62.152485994397765,BR,Brasilia,-47.9292,-15.7801,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Brazil,0.5,0.5,0.5,0.25,0.5,0.5,207833831
Bhutan,BTN,2017,20.833333333333336,0.5,0,0,0,0,0,0.5,0,1,0.5,0,0,47.5,0.5,1,0,1,0,1,0.3,0,55.294117647058826,0.8,0,0,0,0,0,1,1,1,1,0.3,0.3,1,1,1,0,1,42.857142857142854,0,1,1,1,0,0,0,41.621148459383754,BT,Thimphu,89.6177,27.5768,SAS,8S,South Asia,SAS,8S,South Asia,LMC,XN,Lower middle income,IDX,XI,IDA,Bhutan,0,0,0,0,0.5,0.5,745568
Botswana,BWA,2017,33.33333333333333,0.5,0,1,0,1,0,0,0,1,0.5,0,0,40,1,1,0,0.6,0,0,0.3,0.3,50,0.15,0,1,0,0,0.75,0,0,0,1,0.3,0.3,1,1,1,1,1,57.14285714285714,1,1,0,0,1,0,1,45.11904761904762,BW,Gaborone,25.9201,-24.6544,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Botswana,0,0,0.5,0.25,0.5,0.5,2205128
Central African Republic,CAF,2017,16.666666666666664,0,0,0.5,0,0,0,0,0,1,0.5,0,0,13.750000000000002,0.5,0,0,0.3,0,0,0.3,0,27.05882352941176,0,0.3,0,0,0,0,0,0,0,1,0,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,14.368872549019606,CF,Bangui,21.6407,5.63056,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Central African Republic,0,0,0,0,NA,NA,4596028
Chile,CHL,2017,62.5,0.5,0.5,0.5,0.5,1,0,0,0.5,1,1,1,1,62.5,1,1,0,1,0,1,0,1,77.94117647058823,1,0.6,1,1,0.3,0.75,1,1,1,1,0.3,0.3,1,1,1,1,0,71.42857142857143,1,1,1,1,1,0,0,68.59243697478992,CL,Santiago,-70.6475,-33.475,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,IBD,XF,IBRD,Chile,0.5,0.5,0.5,0.25,0,0,18470439
China,CHN,2017,50,0.5,0.5,1,1,1,0,0.5,0.5,0,1,0,0,45,1,1,0,1,0,0.6,0,0,70.88235294117646,1,0.3,1,1,0.3,0.55,0,0,1,1,0.3,0.6,1,1,1,1,1,71.42857142857143,1,0,1,1,1,0,1,59.32773109243698,CN,Beijing,116.286,40.0495,EAS,Z4,East Asia & Pacific,EAP,4E,East Asia & Pacific (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,China,0.5,0.5,0.3,0.25,NA,NA,1386395000
Cote d'Ivoire,CIV,2017,25,0,0.5,0.5,0.5,0,0,0,0,1,0.5,0,0,51.24999999999999,1,1,0,0.6,0.3,0.3,0.6,0.3,61.76470588235294,0.15,0.6,1,0.75,0.3,0.4,1,0,1,1,0,0.3,1,1,1,0,1,28.57142857142857,0,1,0,1,0,0,0,41.64653361344537,CI,Yamoussoukro,-4.0305,5.332,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Cote d'Ivoire,0.5,0.25,0.15,0.25,0.5,0.5,24437469
Cameroon,CMR,2017,33.33333333333333,0.5,0,1,0,1,0,0,0,1,0.5,0,0,28.749999999999996,0.5,0,0,0.6,0,0.3,0.6,0.3,53.529411764705884,0.15,0.3,1,0.75,0.3,0,0,1,0.3,1,0,0.3,1,1,1,0,1,28.57142857142857,0,1,0,1,0,0,0,36.046043417366946,CM,Yaounde,11.5174,3.8721,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,Cameroon,0.5,0.25,0,0,0.5,0.5,24566045
"Congo, Dem. Rep.",COD,2017,16.666666666666664,0,0,0.5,0,0,0,0,0,1,0.5,0,0,23.75,0,0,0,0.3,0,0,1,0.6,37.05882352941177,0,0.3,0,0,0,0.4,0,0,0.3,1,0,0.3,1,1,1,0,1,0,0,0,0,0,0,0,0,19.368872549019606,CD,Kinshasa,15.3222,-4.325,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,NA,0,0,0.15,0.25,NA,NA,81398764
"Congo, Rep.",COG,2017,20.833333333333336,0,0,0,0,1,0,0,0,1,0.5,0,0,36.25,1,1,0,0.3,0,0,0.6,0,45.588235294117645,0,0.3,0,0.15,0.3,0.4,1,0,0.3,1,0,0.3,1,1,1,0,1,0,0,0,0,0,0,0,0,25.667892156862745,CG,Brazzaville,15.2662,-4.2767,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,NA,0.15,0,0.15,0.25,0.5,0.5,5110702
Colombia,COL,2017,50,0.5,0,1,0.5,0,0,1,0,1,1,0,1,76.25,0.5,1,0,1,1,1,0.6,1,70.88235294117646,1,0.3,0,0.15,0.3,1,1,1,1,1,0,0.3,1,1,1,1,1,100,1,1,1,1,1,1,1,74.28308823529412,CO,Bogota,-74.082,4.60987,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Colombia,0.15,0,0.5,0.5,0.5,0.5,48901066
Comoros,COM,2017,20.833333333333336,0,0,0,0,1,0,0,0,1,0.5,0,0,27.500000000000004,0.5,0.5,0,0.6,0,0.3,0.3,0,37.94117647058823,0.15,0.3,0,0,0,0.4,0,1,0.3,0,0,0.3,1,1,1,0,1,0,0,0,0,0,0,0,0,21.568627450980394,KM,Moroni,43.2418,-11.6986,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Comoros,0,0,0.15,0.25,0.5,0.5,813892
Cabo Verde,CPV,2017,33.33333333333333,0.5,0.5,0,0,0,0,0.5,0,1,0.5,1,0,48.75,1,1,0,0.6,0,1,0,0.3,57.94117647058823,0.15,0,1,0.8,0,1,0,0,0.6,1,0,0.3,1,1,1,1,1,71.42857142857143,1,1,0,1,1,0,1,52.86327030812325,CV,Praia,-23.5087,14.9218,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,Cabo Verde,0.3,0.5,0.5,0.5,0.5,0.5,537497
Costa Rica,CRI,2017,70.83333333333334,1,1,1,0.5,1,0,1,0,1,1,1,0,61.25000000000001,1,1,0,1,0,1,0.3,0.6,80,1,0,1,1,0.3,1,1,1,1,1,0,0.3,1,1,1,1,1,100,1,1,1,1,1,1,1,78.02083333333334,CR,San Jose,-84.0089,9.63701,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Costa Rica,0.5,0.5,0.5,0.5,0.5,0.5,4949954
Djibouti,DJI,2017,16.666666666666664,0,0,0,0,0,0,0,0.5,1,0.5,0,0,20,1,0,0,0.6,0,0,0,0,41.76470588235294,0.5,0.3,0,0,0,0,0,1,0,1,0,0.3,1,1,1,0,1,0,0,0,0,0,0,0,0,19.607843137254903,DJ,Djibouti,43.1425,11.5806,MEA,ZQ,Middle East & North Africa,MNA,XQ,Middle East & North Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Djibouti,0,0,NA,NA,0.5,0.5,944097
Dominica,DMA,2017,41.66666666666667,0.5,0,0.5,0.5,1,0,0,0,1,0.5,1,0,20,1,0,0,0.6,0,0,0,0,29.11764705882353,0,0,0,0.65,0,0,0,0,0,1,0,0.3,1,0,1,0,1,0,0,0,0,0,0,0,0,22.69607843137255,DM,Roseau,-61.39,15.2976,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IDB,XH,Blend,NA,0.15,0.5,NA,NA,0.5,0.5,71458
Dominican Republic,DOM,2017,54.166666666666664,1,0.5,1,0.5,1,0,1,0,1,0.5,0,0,50,1,0,0,1,0,1,1,0,65.29411764705883,1,0.3,0,0.15,0.3,0.75,0,1,1,1,0.3,0.3,1,1,1,1,1,57.14285714285714,0,1,1,1,1,0,0,56.65091036414565,DO,Santo Domingo,-69.8908,18.479,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Dominican Republic,0.15,0,0.5,0.25,0.5,0.5,10513131
Algeria,DZA,2017,25,0,0,0.5,0,1,0,0,0,1,0.5,0,0,38.75,1,0.5,1,0,0,0.3,0.3,0,50.588235294117645,0,0.3,0,1,0,0,0,1,1,1,0,0.3,1,1,1,0,1,14.285714285714285,0,0,1,0,0,0,0,32.15598739495798,DZ,Algiers,3.05097,36.7397,MEA,ZQ,Middle East & North Africa,MNA,XQ,Middle East & North Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Algeria,0.5,0.5,0,0,0.5,0.5,41389198
Ecuador,ECU,2017,50,1,0.5,1,0,1,0,0,0.5,1,1,0,0,68.75,1,0.5,1,1,0,1,0,1,80.88235294117646,1,0.6,1,0.8,0.3,0.75,1,1,1,1,0,0.3,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,67.76523109243698,EC,Quito,-78.5243,-0.229498,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Ecuador,0.3,0.5,0.5,0.25,0.5,0.5,16785361
"Egypt, Arab Rep.",EGY,2017,66.66666666666666,0.5,0.5,1,0.5,1,0,0,0.5,1,1,1,1,51.24999999999999,0.5,1,0,1,0,1,0.6,0,58.52941176470588,0,0.3,1,0.15,0.3,1,0,0,1,1,0.3,0.3,1,1,1,0.6,1,71.42857142857143,1,1,1,1,1,0,0,61.968662464986,EG,Cairo,31.2461,30.0982,MEA,ZQ,Middle East & North Africa,MNA,XQ,Middle East & North Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,NA,0.15,0,0.5,0.5,0.5,0.5,96442593
Eritrea,ERI,2017,8.333333333333332,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.647058823529412,0,0,0,0,0,0,0,0,0,0,0,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,3.9950980392156863,ER,Asmara,38.9183,15.3315,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,NA,0,0,0,0,NA,NA,NA
Ethiopia,ETH,2017,16.666666666666664,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0,0,63.74999999999999,1,0.5,0,0,1,1,0.6,1,58.23529411764706,0.15,0.6,0,0.55,0.3,0.4,1,1,0.3,1,0.3,0.3,1,1,1,0,1,14.285714285714285,0,1,0,0,0,0,0,38.234418767506995,ET,Addis Ababa,38.7468,9.02274,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Ethiopia,0.3,0.25,0.15,0.25,0.5,0.5,106400024
Fiji,FJI,2017,50,0.5,0.5,1,0.5,1,0,0,0,1,0.5,1,0,45,1,1,0,1,0,0.6,0,0,48.529411764705884,0.15,0,0,0.8,0,1,0,1,1,1,0,0.3,1,0,1,0,1,28.57142857142857,0,1,0,1,0,0,0,43.02521008403362,FJ,Suva,178.399,-18.1149,EAS,Z4,East Asia & Pacific,EAP,4E,East Asia & Pacific (excluding high income),UMC,XT,Upper middle income,IDB,XH,Blend,Fiji,0.3,0.5,0.5,0.5,0.5,0.5,877459
"Micronesia, Fed. Sts.",FSM,2017,16.666666666666664,0.5,0,0,0,1,0,0,0,0,0.5,0,0,28.749999999999996,1,1,0,0.3,0,0,0,0,19.41176470588235,0,0,0,0,0,0,0,0,0.3,1,0,0,1,0,1,0,0,28.57142857142857,0,0,0,1,1,0,0,23.349964985994394,FM,Palikir,158.185,6.91771,EAS,Z4,East Asia & Pacific,EAP,4E,East Asia & Pacific (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,NA,0,0,NA,NA,0,0,111459
Gabon,GAB,2017,20.833333333333336,0.5,0,0.5,0,0,0,0,0,1,0.5,0,0,20,1,0,0,0,0,0.3,0.3,0,42.05882352941177,0.15,0.3,0,0,0,0.4,0,1,0,1,0,0.3,1,1,1,0,1,14.285714285714285,0,0,0,1,0,0,0,24.294467787114847,GA,Libreville,9.45162,0.38832,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Gabon,0,0,0.15,0.25,0.5,0.5,2064823
Georgia,GEO,2017,79.16666666666666,0.5,1,0.5,0.5,1,1,0.5,0.5,1,1,1,1,53.75,1,1,0,1,0.3,1,0,0,80,1,0,1,1,0.3,1,1,1,1,1,0,0.3,1,1,1,1,1,71.42857142857143,1,1,0,1,1,0,1,71.08630952380952,GE,Tbilisi,44.793,41.71,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Georgia,0.5,0.5,0.5,0.5,0.5,0.5,3728004
Ghana,GHA,2017,37.5,0.5,0,1,0,1,0,0.5,0,1,0.5,0,0,47.5,1,0,0.5,1,0,0.3,1,0,70.58823529411765,0.8,0.6,1,0.75,0,0.25,1,1,1,1,0.3,0.3,1,1,1,0,1,42.857142857142854,1,1,0,0,0,1,0,49.61134453781513,GH,Accra,-0.20795,5.57045,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Ghana,0.5,0.25,0,0.25,0.5,0.5,29121471
Guinea,GIN,2017,8.333333333333332,0.5,0,0,0,0,0,0,0,0,0.5,0,0,33.75,1,0.5,0,0.6,0,0,0.6,0,52.94117647058823,0.15,0.6,1,0.4,0,0.55,0,1,0,1,0,0.3,1,1,1,0,1,14.285714285714285,0,1,0,0,0,0,0,27.327556022408963,GN,Conakry,-13.7,9.51667,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Guinea,0.15,0.25,0.3,0.25,0.5,0.5,12067539
"Gambia, The",GMB,2017,25,0.5,0,0.5,0,0,0,0.5,0,1,0.5,0,0,43.75,1,1,0,0.6,0,0.3,0.6,0,46.470588235294116,0.15,0.6,1,0,0,0.55,0,0,0.3,1,0,0.3,1,1,1,0,1,14.285714285714285,0,1,0,0,0,0,0,32.3765756302521,GM,Banjul,-16.5885,13.4495,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,"Gambia, The",0,0,0.3,0.25,0.5,0.5,2213894
Guinea-Bissau,GNB,2017,20.833333333333336,0.5,0,0,0.5,0,0,0,0,1,0.5,0,0,23.75,1,0,0,0.3,0,0,0.6,0,41.1764705882353,0,0.3,0,0,0,0.4,0,1,0,1,0,0.3,1,1,1,0,1,14.285714285714285,0,1,0,0,0,0,0,25.01137955182073,GW,Bissau,-15.1804,11.8037,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Guinea-Bissau,0,0,0.15,0.25,0.5,0.5,1828146
Equatorial Guinea,GNQ,2017,20.833333333333336,0,0,0,0,1,0,0,0,1,0.5,0,0,28.749999999999996,1,1,0,0,0,0,0.3,0,25.294117647058822,0,0,0,0,0,0,0,0,0,1,0,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,18.71936274509804,GQ,Malabo,8.7741,3.7523,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,NA,0,0,0,0,0,0,1262001
