iso3c,country,AGRI.SURVEYS_2016,AGRI.SURVEYS_2017,AGRI.SURVEYS_2018,SPI.D2.5.AGRI_2016,SPI.D2.5.AGRI_2017,SPI.D2.5.AGRI_2018
UGA,Uganda,2008,2008,2008,0.3,0.3,0.3
UKR,Ukraine,NA,NA,NA,0,0,0
ARE,United Arab Emirates,NA,NA,NA,0,0,0
GBR,United Kingdom,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
USA,United States,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1
URY,Uruguay,NA,NA,NA,0,0,0
UZB,Uzbekistan,NA,NA,NA,0,0,0
VUT,Vanuatu,NA,NA,NA,0,0,0
VEN,"Venezuela, RB",NA,NA,NA,0,0,0
VNM,Vietnam,NA,NA,NA,0,0,0
PSE,West Bank and Gaza,"2011, 2012","2011, 2012","2011, 2012",0.6,0.6,0.6
YEM,"Yemen, Rep.",NA,NA,NA,0,0,0
ZMB,Zambia,"2008, 2010, 2012, 2015","2008, 2010, 2012, 2015","2008, 2010, 2012, 2015",1,1,1
ZWE,Zimbabwe,", 2015",", 2015",", 2015",0.3,0.3,0.3
