Country Name,3 digit country code,Date,"Dimension 1: Methodology, Standards & Classifications (MSC)",Dimension 1: System of National Accounts in use,Dimension 1: National Accounts base year ,Dimension 1: Classification of national industry,Dimension 1: CPI base year,Dimension 1: Classification of household consumption,Dimension 1: Classification of status of employment,Dimension 1: Central government accounting status,Dimension 1: Compilation of government finance statistics,Dimension 1: Compilation of monetary and financial statistics,Dimension 1: SDDS/e-GDDS subscription,Dimension 1: CRVS,Dimension 1: Business process,Dimension 2: Censuses and Surveys (CS),Dimension 2: Population & Housing census,Dimension 2: Agriculture census,Dimension 2: Business/establishment census,Dimension 2: Household Survey on income/consumption/expenditure/budget/Integrated Survey ,Dimension 2: Agriculture survey,Dimension 2: Labor Force Survey,Dimension 2: Health/Demographic survey,Dimension 2: Business/establishment survey,Dimension 3: Availability of Key Indicators (AKI),Dimension 3: Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Dimension 3: Food Insecurity Experience Scale,"Dimension 3: Mortality rate, under-5 (per 1,000 live births)",Dimension 3: Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,Dimension 3: Maternal Mortality,Dimension 3: People using safely managed drinking water services (% of population),Dimension 3: Access to electricity (% of population),"Dimension 3: Unemployment, total (% of total labor force) (national estimate)","Dimension 3: Manufacturing, value added (% of GDP)","Dimension 3: Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",Dimension 3: Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Dimension 3: Renewable energy consumption (% of total final energy consumption),Dimension 3: Households and NPISHs Final consumption expenditure (current LCU),Dimension 3: Quarterly GDP,"Dimension 3: Debt service (PPG and IMF only, % of exports of goods, services and primary income)",Dimension 4: Dissemination Practices & Openness (DPO),Dimension 4: NSO has an Advance Release Calendar and it is published ,Dimension 4: NSO has a listing of surveys and microdata sets (or NADA),Dimension 4: NSO has a data portal,Dimension 4: Timeseries indicators are available for download in reusable format for free,"Dimension 4: Metadata is available providing definition, methodology, standards or classifications for existing data series",Dimension 4: NSO has conducted a user satisfaction survey,Dimension 4: Geospatial data available on relevant agency website,SPI Overall Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yemen, Rep.",YEM,2016,25,0.5,0,0.5,0.5,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11.25,YE,Sana'a,44.2075,15.352,MEA,ZQ,Middle East & North Africa,MNA,XQ,Middle East & North Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,NA,0,0,0,0,NA,NA,27168210
South Africa,ZAF,2016,62.5,1,0.5,0.5,0.5,1,0,0.5,0.5,1,1,0,1,62.5,1,1,0,1,1,1,0,0,66.6666666666667,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,71.4285714285714,1,1,0,1,1,0,1,65.7738095238095,ZA,Pretoria,28.1871,-25.746,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,South Africa,1,1,1,1,NA,NA,56203654
Zambia,ZMB,2016,37.5,1,0.5,0.5,0,1,0,0,0,1,0.5,0,0,37.5,1,0,0,0,1,1,0,0,36.6666666666667,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,42.8571428571429,0,1,1,1,0,0,0,38.6309523809524,ZM,Lusaka,28.2937,-15.3982,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Zambia,1,0,0,0,1,1,16363507
Zimbabwe,ZWE,2016,33.3333333333333,0.5,0.5,0.5,0.5,1,0,0,0.5,0,0.5,0,0,50,1,0,1,1,0,0,1,0,40,0,0,0.5,0,0.5,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,30.8333333333333,ZW,Harare,31.0672,-17.8312,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,Zimbabwe,1,0,1,0,1,1,14030390
Afghanistan,AFG,2017,33.3333333333333,0.5,0,0,0,1,0,0.5,0.5,1,0.5,0,0,12.5,0,0,0,1,0,0,0,0,40,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,28.5714285714286,0,0,0,1,0,1,0,28.6011904761905,AF,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,NA,0,0,0,0,1,1,36296400
Angola,AGO,2017,37.5,0.5,0,1,0.5,1,0,0,0,1,0.5,0,0,25,1,0,1,0,0,0,0,0,40,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,25.625,AO,Luanda,13.242,-8.81155,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,Angola,0,0,0,0,1,1,29816748
Albania,ALB,2017,79.1666666666667,0.5,1,1,0.5,1,0,1,1,1,0.5,1,1,50,1,1,0,1,0,1,0,0,73.3333333333333,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,85.7142857142857,1,0,1,1,1,1,1,72.0535714285714,AL,Tirane,19.8172,41.3317,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Albania,1,1,0,0,1,1,2873457
Argentina,ARG,2017,45.8333333333333,1,0,0.5,0,1,0,1,0,0,1,1,0,50,1,1,0,1,0,1,0,0,60,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,71.4285714285714,1,1,0,1,1,0,1,56.8154761904762,AR,Buenos Aires,-58.4173,-34.6118,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,NA,1,1,1,1,1,1,44044811
Armenia,ARM,2017,83.3333333333333,0.5,1,1,0.5,1,1,0.5,0.5,1,1,1,1,50,1,1,0,1,0,1,0,0,80,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,85.7142857142857,1,1,1,1,1,1,0,74.7619047619048,AM,Yerevan,44.509,40.1596,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Armenia,1,1,1,1,1,1,2944809
Antigua and Barbuda,ATG,2017,29.1666666666667,0.5,0,0.5,0,0,0,0,0,1,0.5,1,0,25,1,1,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.5416666666667,AG,Saint John's,-61.8456,17.1175,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,IBD,XF,IBRD,NA,0,0,1,1,0,0,95426
Azerbaijan,AZE,2017,70.8333333333333,0.5,0,1,1,1,1,0.5,0,1,0.5,1,1,37.5,1,1,0,1,0,0,0,0,56.6666666666667,0,0,0.5,0,1,1,0,1,1,0,0,1,1,1,1,85.7142857142857,1,0,1,1,1,1,1,62.6785714285714,AZ,Baku,49.8932,40.3834,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Azerbaijan,0,1,1,1,1,1,9854033
Burundi,BDI,2017,33.3333333333333,0.5,0,0.5,0.5,1,0,0,0,1,0.5,0,0,12.5,1,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,42.8571428571429,1,1,0,0,1,0,0,30.5059523809524,BI,Bujumbura,29.3639,-3.3784,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Burundi,0,0,0,0,1,1,10827024
Benin,BEN,2017,29.1666666666667,0,0.5,0.5,0.5,0,0,0,0.5,1,0.5,0,0,50,1,0,1,1,0,1,0,0,36.6666666666667,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,28.5714285714286,0,1,0,0,1,0,0,36.1011904761905,BJ,Porto-Novo,2.6323,6.4779,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Benin,1,0,0,0,1,1,11175204
Burkina Faso,BFA,2017,33.3333333333333,0.5,0,0.5,0.5,1,0,0,0,1,0.5,0,0,25,0,1,0,1,0,0,0,0,40,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,42.8571428571429,0,1,1,1,0,0,0,35.297619047619,BF,Ouagadougou,-1.53395,12.3605,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Burkina Faso,0,0,0,0,1,1,19193284
Bangladesh,BGD,2017,25,0.5,0,1,0,0,0,0,0,1,0.5,0,0,50,1,1,0,0,0,1,1,0,60,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,28.5714285714286,0,1,0,0,1,0,0,40.8928571428571,BD,Dhaka,90.4113,23.7055,SAS,8S,South Asia,SAS,8S,South Asia,LMC,XN,Lower middle income,IDX,XI,IDA,Bangladesh,1,1,0,0,1,1,159670593
Bulgaria,BGR,2017,87.5,0.5,1,1,1,1,1,1,1,1,1,1,0,62.5,1,1,0,1,1,1,0,0,73.3333333333333,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,71.4285714285714,1,0,1,1,1,1,0,73.6904761904762,BG,Sofia,23.3238,42.7105,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Bulgaria,1,1,1,1,1,1,7075947
Bosnia and Herzegovina,BIH,2017,66.6666666666667,0.5,1,1,0.5,1,0,1,0.5,1,0.5,1,0,37.5,1,0,0,1,0,1,0,0,63.3333333333333,0,1,1,0,0.5,1,0,1,1,0,0,1,1,1,1,28.5714285714286,1,0,0,0,1,0,0,49.0178571428571,BA,Sarajevo,18.4214,43.8607,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Bosnia and Herzegovina,1,1,0,1,1,1,3351527
Belarus,BLR,2017,79.1666666666667,0.5,1,1,1,1,0,0.5,0.5,1,1,1,1,25,1,0,0,1,0,0,0,0,66.6666666666667,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,57.1428571428571,1,0,1,0,1,1,0,56.9940476190476,BY,Minsk,27.5766,53.9678,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Belarus,1,1,1,1,1,1,9498264
Belize,BLZ,2017,29.1666666666667,0.5,0,0.5,0,1,0,0,0,1,0.5,0,0,50,1,1,0,1,0,1,0,0,53.3333333333333,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,42.8571428571429,1,0,0,1,0,0,1,43.8392857142857,BZ,Belmopan,-88.7713,17.2534,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Belize,1,1,1,1,1,1,375769
Bolivia,BOL,2017,16.6666666666667,0,0,0.5,0,0,0,0,0,1,0.5,0,0,37.5,1,1,0,1,0,0,0,0,46.6666666666667,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,42.8571428571429,0,1,0,1,0,0,1,35.922619047619,BO,La Paz,-66.1936,-13.9908,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,Bolivia,0,0,0,0,1,1,11192854
Brazil,BRA,2017,54.1666666666667,1,0,1,0.5,1,0,1,0,1,1,0,0,50,1,0,0,1,1,1,0,0,63.3333333333333,1,0,1,0,0.5,0,1,1,1,0,0,1,1,1,1,71.4285714285714,1,1,1,1,1,0,0,59.7321428571429,BR,Brasilia,-47.9292,-15.7801,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Brazil,1,1,1,0,1,1,207833831
Bhutan,BTN,2017,20.8333333333333,0.5,0,0,0,0,0,0.5,0,1,0.5,0,0,37.5,0,1,0,1,0,1,0,0,50,0.5,0,0,0,0,1,1,1,1,0,0,1,1,0,1,42.8571428571429,0,1,1,1,0,0,0,37.7976190476191,BT,Thimphu,89.6177,27.5768,SAS,8S,South Asia,SAS,8S,South Asia,LMC,XN,Lower middle income,IDX,XI,IDA,Bhutan,0,0,0,0,1,1,745568
Botswana,BWA,2017,33.3333333333333,0.5,0,1,0,1,0,0,0,1,0.5,0,0,25,1,1,0,0,0,0,0,0,43.3333333333333,0,1,0,0,0.5,0,0,0,1,0,0,1,1,1,1,57.1428571428571,1,1,0,0,1,0,1,39.7023809523809,BW,Gaborone,25.9201,-24.6544,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Botswana,0,0,1,0,1,1,2205128
Central African Republic,CAF,2017,16.6666666666667,0,0,0.5,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9.16666666666667,CF,Bangui,21.6407,5.63056,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Central African Republic,0,0,0,0,NA,NA,4596028
Chile,CHL,2017,62.5,0.5,0.5,0.5,0.5,1,0,0,0.5,1,1,1,1,62.5,1,1,0,1,0,1,0,1,70,1,1,1,0,0.5,1,1,1,1,0,0,1,1,1,0,71.4285714285714,1,1,1,1,1,0,0,66.6071428571429,CL,Santiago,-70.6475,-33.475,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,IBD,XF,IBRD,Chile,1,1,1,0,0,0,18470439
China,CHN,2017,50,0.5,0.5,1,1,1,0,0.5,0.5,0,1,0,0,37.5,1,1,0,1,0,0,0,0,60,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,71.4285714285714,1,0,1,1,1,0,1,54.7321428571429,CN,Beijing,116.286,40.0495,EAS,Z4,East Asia & Pacific,EAP,4E,East Asia & Pacific (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,China,1,1,0,0,NA,NA,1386395000
Cote d'Ivoire,CIV,2017,25,0,0.5,0.5,0.5,0,0,0,0,1,0.5,0,0,25,1,1,0,0,0,0,0,0,50,0,1,0.5,0,0,1,0,1,1,0,0,1,1,0,1,28.5714285714286,0,1,0,1,0,0,0,32.1428571428571,CI,Yamoussoukro,-4.0305,5.332,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Cote d'Ivoire,1,0,0,0,1,1,24437469
Cameroon,CMR,2017,33.3333333333333,0.5,0,1,0,1,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,43.3333333333333,0,1,0.5,0,0,0,1,0,1,0,0,1,1,0,1,28.5714285714286,0,1,0,1,0,0,0,26.3095238095238,CM,Yaounde,11.5174,3.8721,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,Cameroon,1,0,0,0,1,1,24566045
"Congo, Dem. Rep.",COD,2017,16.6666666666667,0,0,0.5,0,0,0,0,0,1,0.5,0,0,12.5,0,0,0,0,0,0,1,0,26.6666666666667,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,13.9583333333333,CD,Kinshasa,15.3222,-4.325,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,NA,0,0,0,0,NA,NA,81398764
"Congo, Rep.",COG,2017,20.8333333333333,0,0,0,0,1,0,0,0,1,0.5,0,0,25,1,1,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,19.7916666666667,CG,Brazzaville,15.2662,-4.2767,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,NA,0,0,0,0,1,1,5110702
Colombia,COL,2017,50,0.5,0,1,0.5,0,0,1,0,1,1,0,1,62.5,0,1,0,1,1,1,0,1,66.6666666666667,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,100,1,1,1,1,1,1,1,69.7916666666667,CO,Bogota,-74.082,4.60987,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Colombia,0,0,1,1,1,1,48901066
Comoros,COM,2017,20.8333333333333,0,0,0,0,1,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,26.6666666666667,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,11.875,KM,Moroni,43.2418,-11.6986,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Comoros,0,0,0,0,1,1,813892
Cabo Verde,CPV,2017,33.3333333333333,0.5,0.5,0,0,0,0,0.5,0,1,0.5,1,0,37.5,1,1,0,0,0,1,0,0,50,0,1,0.5,0,1,0,0,0,1,0,0,1,1,1,1,71.4285714285714,1,1,0,1,1,0,1,48.0654761904762,CV,Praia,-23.5087,14.9218,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,Cabo Verde,0,1,1,1,1,1,537497
Costa Rica,CRI,2017,70.8333333333333,1,1,1,0.5,1,0,1,0,1,1,1,0,50,1,1,0,1,0,1,0,0,80,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,100,1,1,1,1,1,1,1,75.2083333333333,CR,San Jose,-84.0089,9.63701,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Costa Rica,1,1,1,1,1,1,4949954
Djibouti,DJI,2017,16.6666666666667,0,0,0,0,0,0,0,0.5,1,0.5,0,0,12.5,1,0,0,0,0,0,0,0,36.6666666666667,0.5,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,16.4583333333333,DJ,Djibouti,43.1425,11.5806,MEA,ZQ,Middle East & North Africa,MNA,XQ,Middle East & North Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Djibouti,0,0,NA,NA,1,1,944097
Dominica,DMA,2017,41.6666666666667,0.5,0,0.5,0.5,1,0,0,0,1,0.5,1,0,12.5,1,0,0,0,0,0,0,0,23.3333333333333,0,0,0.5,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,19.375,DM,Roseau,-61.39,15.2976,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IDB,XH,Blend,NA,0,1,NA,NA,1,1,71458
Dominican Republic,DOM,2017,54.1666666666667,1,0.5,1,0.5,1,0,1,0,1,0.5,0,0,50,1,0,0,1,0,1,1,0,56.6666666666667,1,0,0,0,0.5,0,1,1,1,0,0,1,1,1,1,57.1428571428571,0,1,1,1,1,0,0,54.4940476190476,DO,Santo Domingo,-69.8908,18.479,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Dominican Republic,0,0,1,0,1,1,10513131
Algeria,DZA,2017,25,0,0,0.5,0,1,0,0,0,1,0.5,0,0,25,1,0,1,0,0,0,0,0,46.6666666666667,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,14.2857142857143,0,0,1,0,0,0,0,27.7380952380952,DZ,Algiers,3.05097,36.7397,MEA,ZQ,Middle East & North Africa,MNA,XQ,Middle East & North Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Algeria,1,1,0,0,1,1,41389198
Ecuador,ECU,2017,50,1,0.5,1,0,1,0,0,0.5,1,1,0,0,62.5,1,0,1,1,0,1,0,1,73.3333333333333,1,1,0.5,0,0.5,1,1,1,1,0,0,1,1,1,1,71.4285714285714,1,1,1,1,1,0,0,64.3154761904762,EC,Quito,-78.5243,-0.229498,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Ecuador,0,1,1,0,1,1,16785361
"Egypt, Arab Rep.",EGY,2017,66.6666666666667,0.5,0.5,1,0.5,1,0,0,0.5,1,1,1,1,37.5,0,1,0,1,0,1,0,0,46.6666666666667,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,71.4285714285714,1,1,1,1,1,0,0,55.5654761904762,EG,Cairo,31.2461,30.0982,MEA,ZQ,Middle East & North Africa,MNA,XQ,Middle East & North Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,NA,0,0,1,1,1,1,96442593
Eritrea,ERI,2017,8.33333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.75,ER,Asmara,38.9183,15.3315,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,NA,0,0,0,0,0,0,NA
Ethiopia,ETH,2017,16.6666666666667,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0,0,50,1,0,0,0,1,1,0,1,40,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,14.2857142857143,0,1,0,0,0,0,0,30.2380952380952,ET,Addis Ababa,38.7468,9.02274,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Ethiopia,0,0,0,0,1,1,106400024
Fiji,FJI,2017,50,0.5,0.5,1,0.5,1,0,0,0,1,0.5,1,0,37.5,1,1,0,1,0,0,0,0,43.3333333333333,0,0,0.5,0,1,0,1,1,1,0,0,1,0,0,1,28.5714285714286,0,1,0,1,0,0,0,39.8511904761905,FJ,Suva,178.399,-18.1149,EAS,Z4,East Asia & Pacific,EAP,4E,East Asia & Pacific (excluding high income),UMC,XT,Upper middle income,IDB,XH,Blend,Fiji,0,1,1,1,1,1,877459
"Micronesia, Fed. Sts.",FSM,2017,16.6666666666667,0.5,0,0,0,1,0,0,0,0,0.5,0,0,25,1,1,0,0,0,0,0,0,13.3333333333333,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,28.5714285714286,0,0,0,1,1,0,0,20.8928571428571,FM,Palikir,158.185,6.91771,EAS,Z4,East Asia & Pacific,EAP,4E,East Asia & Pacific (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,NA,0,0,NA,NA,0,0,111459
Gabon,GAB,2017,20.8333333333333,0.5,0,0.5,0,0,0,0,0,1,0.5,0,0,12.5,1,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,14.2857142857143,0,0,0,1,0,0,0,20.2380952380952,GA,Libreville,9.45162,0.38832,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Gabon,0,0,0,0,1,1,2064823
Georgia,GEO,2017,79.1666666666667,0.5,1,0.5,0.5,1,1,0.5,0.5,1,1,1,1,50,1,1,0,1,0,1,0,0,80,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,71.4285714285714,1,1,0,1,1,0,1,70.1488095238095,GE,Tbilisi,44.793,41.71,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Georgia,1,1,1,1,1,1,3728004
Ghana,GHA,2017,37.5,0.5,0,1,0,1,0,0.5,0,1,0.5,0,0,37.5,1,0,0,1,0,0,1,0,60,0.5,1,0.5,0,0,1,1,1,1,0,0,1,1,0,1,42.8571428571429,1,1,0,0,0,1,0,44.4642857142857,GH,Accra,-0.20795,5.57045,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Ghana,1,0,0,0,1,1,29121471
Guinea,GIN,2017,8.33333333333333,0.5,0,0,0,0,0,0,0,0,0.5,0,0,12.5,1,0,0,0,0,0,0,0,40,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,14.2857142857143,0,1,0,0,0,0,0,18.7797619047619,GN,Conakry,-13.7,9.51667,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Guinea,0,0,0,0,1,1,12067539
"Gambia, The",GMB,2017,25,0.5,0,0.5,0,0,0,0.5,0,1,0.5,0,0,25,1,1,0,0,0,0,0,0,33.3333333333333,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,14.2857142857143,0,1,0,0,0,0,0,24.4047619047619,GM,Banjul,-16.5885,13.4495,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,"Gambia, The",0,0,0,0,1,1,2213894
Guinea-Bissau,GNB,2017,20.8333333333333,0.5,0,0,0.5,0,0,0,0,1,0.5,0,0,12.5,1,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,14.2857142857143,0,1,0,0,0,0,0,20.2380952380952,GW,Bissau,-15.1804,11.8037,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Guinea-Bissau,0,0,0,0,1,1,1828146
Equatorial Guinea,GNQ,2017,20.8333333333333,0,0,0,0,1,0,0,0,1,0.5,0,0,25,1,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,16.4583333333333,GQ,Malabo,8.7741,3.7523,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,NA,0,0,0,0,0,0,1262001
Grenada,GRD,2017,29.1666666666667,0,0,0.5,0.5,0,0,0,0,1,0.5,1,0,25,1,1,0,0,0,0,0,0,43.3333333333333,0,0,0.5,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,24.375,GD,Saint George's,-61.7449,12.0653,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IDB,XH,Blend,NA,0,1,1,1,1,1,110874
Guatemala,GTM,2017,33.3333333333333,0.5,0,0.5,0.5,0,0,0,0,1,0.5,1,0,25,0,0,0,0,1,1,0,0,66.6666666666667,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,28.5714285714286,0,1,0,1,0,0,0,38.3928571428571,GT,Guatemala City,-90.5328,14.6248,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Guatemala,0,0,1,1,1,1,16914936
