country,iso3c,date,SPI.D1.MSC,SPI.D1.1.SNAU,SPI.D1.2.NABY,SPI.D1.3.CNIN,SPI.D1.4.CPIBY,SPI.D1.5.HOUS,SPI.D1.6.EMPL,SPI.D1.7.CGOV,SPI.D1.8.FINA,SPI.D1.9.MONY,SPI.D1.10.IDDS,SPI.D1.11.CRVS,SPI.D1.12.GSBP,SPI.D2.CS,SPI.D2.1.POPU,SPI.D2.2.AGRI,SPI.D2.3.BIZZ,SPI.D2.4.HOUS,SPI.D2.5.AGRI,SPI.D2.6.LABR,SPI.D2.7.HLTH,SPI.D2.8.BIZZ,SPI.D3.AKI,SPI.D3.POV,SPI.D3.FIES,SPI.D3.CHLD.MORT,SPI.D3.SE.LPV.PRIM.BMP,SPI.D3.MMRT,SPI.D3.SH.H2O.SMDW.ZS,SPI.D3.ELEC,SPI.D3.SL.UEM.TOTL.NE.ZS,SPI.D3.NV.IND.MANF.ZS,SPI.D3.SI.SPR.PC40.ZG,SPI.D3.ER.H2O.FWST.ZS,SPI.D3.EG.FEC.RNEW.ZS,SPI.D3.NE.CON.PRVT.CN,SPI.D3.QUART.GDP,SPI.D3.DT.TDS.DPPF.XP.ZS,SPI.D4.DPO,SPI.D4.1.CALD,SPI.D4.2.NADA,SPI.D4.3.PORT,SPI.D4.4.TIME,SPI.D4.5.META,SPI.D4.6.USER,SPI.D4.7.GEOS,SPI.OVRL.SCR,iso2c,capital,long,lat,regionID,region_iso2c,region,adminID,admin_iso2c,admin,incomeID,income_iso2c,income,lendingID,lending_iso2c,lending,countryname,SPI.FREQ.D3.CHLD.MORT,SPI.QUAL.D3.CHLD.MORT,SPI.FREQ.D3.MMRT,SPI.QUAL.D3.MMRT,SPI.FREQ.D3.DT.TDS.DPPF.XP.ZS,SPI.QUAL.D3.DT.TDS.DPPF.XP.ZS,population
Kosovo,XKX,2016,50,0.5,0.5,1,0.5,1,0,0,1,1,0.5,0,0,37.5,1,0,0,1,0,1,0,0,46.6666666666667,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,42.8571428571429,1,0,1,1,0,0,0,44.2559523809524,XK,Pristina,20.926,42.565,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IDX,XI,IDA,Kosovo,NA,NA,NA,NA,NA,NA,1816200
"Yemen, Rep.",YEM,2016,25,0.5,0,0.5,0.5,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11.25,YE,Sana'a,44.2075,15.352,MEA,ZQ,Middle East & North Africa,MNA,XQ,Middle East & North Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,NA,0,0,0,0,NA,NA,27168210
South Africa,ZAF,2016,62.5,1,0.5,0.5,0.5,1,0,0.5,0.5,1,1,0,1,62.5,1,1,0,1,1,1,0,0,66.6666666666667,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,71.4285714285714,1,1,0,1,1,0,1,65.7738095238095,ZA,Pretoria,28.1871,-25.746,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,South Africa,1,1,1,1,NA,NA,56203654
Zambia,ZMB,2016,37.5,1,0.5,0.5,0,1,0,0,0,1,0.5,0,0,37.5,1,0,0,0,1,1,0,0,36.6666666666667,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,42.8571428571429,0,1,1,1,0,0,0,38.6309523809524,ZM,Lusaka,28.2937,-15.3982,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Zambia,1,0,0,0,1,1,16363507
Zimbabwe,ZWE,2016,33.3333333333333,0.5,0.5,0.5,0.5,1,0,0,0.5,0,0.5,0,0,50,1,0,1,1,0,0,1,0,40,0,0,0.5,0,0.5,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,30.8333333333333,ZW,Harare,31.0672,-17.8312,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,Zimbabwe,1,0,1,0,1,1,14030390
Afghanistan,AFG,2017,33.3333333333333,0.5,0,0,0,1,0,0.5,0.5,1,0.5,0,0,12.5,0,0,0,1,0,0,0,0,40,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,28.5714285714286,0,0,0,1,0,1,0,28.6011904761905,AF,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,NA,0,0,0,0,1,1,36296400
Angola,AGO,2017,37.5,0.5,0,1,0.5,1,0,0,0,1,0.5,0,0,25,1,0,1,0,0,0,0,0,40,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,25.625,AO,Luanda,13.242,-8.81155,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,Angola,0,0,0,0,1,1,29816748
Albania,ALB,2017,79.1666666666667,0.5,1,1,0.5,1,0,1,1,1,0.5,1,1,50,1,1,0,1,0,1,0,0,73.3333333333333,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,85.7142857142857,1,0,1,1,1,1,1,72.0535714285714,AL,Tirane,19.8172,41.3317,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Albania,1,1,0,0,1,1,2873457
United Arab Emirates,ARE,2017,58.3333333333333,0.5,0.5,1,0.5,1,0,1,1,1,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6666666666667,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,42.8571428571429,0,0,1,1,1,0,0,NA,AE,Abu Dhabi,54.3705,24.4764,MEA,ZQ,Middle East & North Africa,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,NA,1,1,0,0,0,0,9487203
Argentina,ARG,2017,45.8333333333333,1,0,0.5,0,1,0,1,0,0,1,1,0,50,1,1,0,1,0,1,0,0,60,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,71.4285714285714,1,1,0,1,1,0,1,56.8154761904762,AR,Buenos Aires,-58.4173,-34.6118,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,NA,1,1,1,1,1,1,44044811
Armenia,ARM,2017,83.3333333333333,0.5,1,1,0.5,1,1,0.5,0.5,1,1,1,1,50,1,1,0,1,0,1,0,0,80,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,85.7142857142857,1,1,1,1,1,1,0,74.7619047619048,AM,Yerevan,44.509,40.1596,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Armenia,1,1,1,1,1,1,2944809
Antigua and Barbuda,ATG,2017,29.1666666666667,0.5,0,0.5,0,0,0,0,0,1,0.5,1,0,25,1,1,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.5416666666667,AG,Saint John's,-61.8456,17.1175,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,IBD,XF,IBRD,NA,0,0,1,1,0,0,95426
Australia,AUS,2017,100,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.3333333333333,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,100,1,1,1,1,1,1,1,NA,AU,Canberra,149.129,-35.282,EAS,Z4,East Asia & Pacific,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,Australia,1,1,1,1,0,0,24601860
Austria,AUT,2017,91.6666666666667,1,1,1,1,1,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6666666666667,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,57.1428571428571,1,1,1,0,1,0,0,NA,AT,Vienna,16.3798,48.2201,ECS,Z7,Europe & Central Asia,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,Austria,1,1,1,1,0,0,8797566
Azerbaijan,AZE,2017,70.8333333333333,0.5,0,1,1,1,1,0.5,0,1,0.5,1,1,37.5,1,1,0,1,0,0,0,0,56.6666666666667,0,0,0.5,0,1,1,0,1,1,0,0,1,1,1,1,85.7142857142857,1,0,1,1,1,1,1,62.6785714285714,AZ,Baku,49.8932,40.3834,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Azerbaijan,0,1,1,1,1,1,9854033
Burundi,BDI,2017,33.3333333333333,0.5,0,0.5,0.5,1,0,0,0,1,0.5,0,0,12.5,1,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,42.8571428571429,1,1,0,0,1,0,0,30.5059523809524,BI,Bujumbura,29.3639,-3.3784,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Burundi,0,0,0,0,1,1,10827024
Belgium,BEL,2017,87.5,1,1,1,0.5,1,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6666666666667,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,57.1428571428571,1,0,1,1,1,0,0,NA,BE,Brussels,4.36761,50.8371,ECS,Z7,Europe & Central Asia,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,Belgium,1,1,1,1,0,0,11375158
Benin,BEN,2017,29.1666666666667,0,0.5,0.5,0.5,0,0,0,0.5,1,0.5,0,0,50,1,0,1,1,0,1,0,0,36.6666666666667,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,28.5714285714286,0,1,0,0,1,0,0,36.1011904761905,BJ,Porto-Novo,2.6323,6.4779,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Benin,1,0,0,0,1,1,11175204
Burkina Faso,BFA,2017,33.3333333333333,0.5,0,0.5,0.5,1,0,0,0,1,0.5,0,0,25,0,1,0,1,0,0,0,0,40,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,42.8571428571429,0,1,1,1,0,0,0,35.297619047619,BF,Ouagadougou,-1.53395,12.3605,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Burkina Faso,0,0,0,0,1,1,19193284
Bangladesh,BGD,2017,25,0.5,0,1,0,0,0,0,0,1,0.5,0,0,50,1,1,0,0,0,1,1,0,60,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,28.5714285714286,0,1,0,0,1,0,0,40.8928571428571,BD,Dhaka,90.4113,23.7055,SAS,8S,South Asia,SAS,8S,South Asia,LMC,XN,Lower middle income,IDX,XI,IDA,Bangladesh,1,1,0,0,1,1,159670593
Bulgaria,BGR,2017,87.5,0.5,1,1,1,1,1,1,1,1,1,1,0,62.5,1,1,0,1,1,1,0,0,73.3333333333333,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,71.4285714285714,1,0,1,1,1,1,0,73.6904761904762,BG,Sofia,23.3238,42.7105,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Bulgaria,1,1,1,1,1,1,7075947
Bahrain,BHR,2017,37.5,0.5,0.5,0.5,0,1,0,0,0.5,0,0.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6666666666667,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,28.5714285714286,0,0,1,1,0,0,0,NA,BH,Manama,50.5354,26.1921,MEA,ZQ,Middle East & North Africa,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,NA,1,1,1,1,0,0,1494074
"Bahamas, The",BHS,2017,25,0.5,0,1,0,0,0,0.5,0.5,0,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6666666666667,0,0,0.5,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,BS,Nassau,-77.339,25.0661,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,NA,0,1,1,1,0,0,381761
Bosnia and Herzegovina,BIH,2017,66.6666666666667,0.5,1,1,0.5,1,0,1,0.5,1,0.5,1,0,37.5,1,0,0,1,0,1,0,0,63.3333333333333,0,1,1,0,0.5,1,0,1,1,0,0,1,1,1,1,28.5714285714286,1,0,0,0,1,0,0,49.0178571428571,BA,Sarajevo,18.4214,43.8607,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Bosnia and Herzegovina,1,1,0,1,1,1,3351527
Belarus,BLR,2017,79.1666666666667,0.5,1,1,1,1,0,0.5,0.5,1,1,1,1,25,1,0,0,1,0,0,0,0,66.6666666666667,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,57.1428571428571,1,0,1,0,1,1,0,56.9940476190476,BY,Minsk,27.5766,53.9678,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Belarus,1,1,1,1,1,1,9498264
Belize,BLZ,2017,29.1666666666667,0.5,0,0.5,0,1,0,0,0,1,0.5,0,0,50,1,1,0,1,0,1,0,0,53.3333333333333,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,42.8571428571429,1,0,0,1,0,0,1,43.8392857142857,BZ,Belmopan,-88.7713,17.2534,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Belize,1,1,1,1,1,1,375769
Bolivia,BOL,2017,16.6666666666667,0,0,0.5,0,0,0,0,0,1,0.5,0,0,37.5,1,1,0,1,0,0,0,0,46.6666666666667,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,42.8571428571429,0,1,0,1,0,0,1,35.922619047619,BO,La Paz,-66.1936,-13.9908,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,Bolivia,0,0,0,0,1,1,11192854
Brazil,BRA,2017,54.1666666666667,1,0,1,0.5,1,0,1,0,1,1,0,0,50,1,0,0,1,1,1,0,0,63.3333333333333,1,0,1,0,0.5,0,1,1,1,0,0,1,1,1,1,71.4285714285714,1,1,1,1,1,0,0,59.7321428571429,BR,Brasilia,-47.9292,-15.7801,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Brazil,1,1,1,0,1,1,207833831
Barbados,BRB,2017,33.3333333333333,0.5,0,0.5,0,0,0,0,0.5,1,0.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6666666666667,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,BB,Bridgetown,-59.6105,13.0935,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,NA,0,0,1,1,0,0,286233
Brunei Darussalam,BRN,2017,41.6666666666667,0.5,0.5,0.5,0,1,0,0,0,1,0.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,57.1428571428571,1,0,1,1,1,0,0,NA,BN,Bandar Seri Begawan,114.946,4.94199,EAS,Z4,East Asia & Pacific,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,NA,1,1,1,1,0,0,424473
Bhutan,BTN,2017,20.8333333333333,0.5,0,0,0,0,0,0.5,0,1,0.5,0,0,37.5,0,1,0,1,0,1,0,0,50,0.5,0,0,0,0,1,1,1,1,0,0,1,1,0,1,42.8571428571429,0,1,1,1,0,0,0,37.7976190476191,BT,Thimphu,89.6177,27.5768,SAS,8S,South Asia,SAS,8S,South Asia,LMC,XN,Lower middle income,IDX,XI,IDA,Bhutan,0,0,0,0,1,1,745568
Botswana,BWA,2017,33.3333333333333,0.5,0,1,0,1,0,0,0,1,0.5,0,0,25,1,1,0,0,0,0,0,0,43.3333333333333,0,1,0,0,0.5,0,0,0,1,0,0,1,1,1,1,57.1428571428571,1,1,0,0,1,0,1,39.7023809523809,BW,Gaborone,25.9201,-24.6544,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Botswana,0,0,1,0,1,1,2205128
Central African Republic,CAF,2017,16.6666666666667,0,0,0.5,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9.16666666666667,CF,Bangui,21.6407,5.63056,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Central African Republic,0,0,0,0,NA,NA,4596028
Canada,CAN,2017,91.6666666666667,1,1,1,0.5,1,1,1,0.5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,85.7142857142857,1,1,1,1,1,1,0,NA,CA,Ottawa,-75.6919,45.4215,NAC,XU,North America,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,Canada,1,1,1,1,0,0,36543321
Switzerland,CHE,2017,75,1,1,1,1,1,0,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6666666666667,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,71.4285714285714,1,1,1,1,1,0,0,NA,CH,Bern,7.44821,46.948,ECS,Z7,Europe & Central Asia,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,Switzerland,1,1,1,1,0,0,8451840
Chile,CHL,2017,62.5,0.5,0.5,0.5,0.5,1,0,0,0.5,1,1,1,1,62.5,1,1,0,1,0,1,0,1,70,1,1,1,0,0.5,1,1,1,1,0,0,1,1,1,0,71.4285714285714,1,1,1,1,1,0,0,66.6071428571429,CL,Santiago,-70.6475,-33.475,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,IBD,XF,IBRD,Chile,1,1,1,0,0,0,18470439
China,CHN,2017,50,0.5,0.5,1,1,1,0,0.5,0.5,0,1,0,0,37.5,1,1,0,1,0,0,0,0,60,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,71.4285714285714,1,0,1,1,1,0,1,54.7321428571429,CN,Beijing,116.286,40.0495,EAS,Z4,East Asia & Pacific,EAP,4E,East Asia & Pacific (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,China,1,1,0,0,NA,NA,1386395000
Cote d'Ivoire,CIV,2017,25,0,0.5,0.5,0.5,0,0,0,0,1,0.5,0,0,25,1,1,0,0,0,0,0,0,50,0,1,0.5,0,0,1,0,1,1,0,0,1,1,0,1,28.5714285714286,0,1,0,1,0,0,0,32.1428571428571,CI,Yamoussoukro,-4.0305,5.332,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Cote d'Ivoire,1,0,0,0,1,1,24437469
Cameroon,CMR,2017,33.3333333333333,0.5,0,1,0,1,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,43.3333333333333,0,1,0.5,0,0,0,1,0,1,0,0,1,1,0,1,28.5714285714286,0,1,0,1,0,0,0,26.3095238095238,CM,Yaounde,11.5174,3.8721,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,Cameroon,1,0,0,0,1,1,24566045
"Congo, Dem. Rep.",COD,2017,16.6666666666667,0,0,0.5,0,0,0,0,0,1,0.5,0,0,12.5,0,0,0,0,0,0,1,0,26.6666666666667,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,13.9583333333333,CD,Kinshasa,15.3222,-4.325,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,NA,0,0,0,0,NA,NA,81398764
"Congo, Rep.",COG,2017,20.8333333333333,0,0,0,0,1,0,0,0,1,0.5,0,0,25,1,1,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,19.7916666666667,CG,Brazzaville,15.2662,-4.2767,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,NA,0,0,0,0,1,1,5110702
Colombia,COL,2017,50,0.5,0,1,0.5,0,0,1,0,1,1,0,1,62.5,0,1,0,1,1,1,0,1,66.6666666666667,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,100,1,1,1,1,1,1,1,69.7916666666667,CO,Bogota,-74.082,4.60987,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Colombia,0,0,1,1,1,1,48901066
Comoros,COM,2017,20.8333333333333,0,0,0,0,1,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,26.6666666666667,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,11.875,KM,Moroni,43.2418,-11.6986,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Comoros,0,0,0,0,1,1,813892
Cabo Verde,CPV,2017,33.3333333333333,0.5,0.5,0,0,0,0,0.5,0,1,0.5,1,0,37.5,1,1,0,0,0,1,0,0,50,0,1,0.5,0,1,0,0,0,1,0,0,1,1,1,1,71.4285714285714,1,1,0,1,1,0,1,48.0654761904762,CV,Praia,-23.5087,14.9218,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,Cabo Verde,0,1,1,1,1,1,537497
Costa Rica,CRI,2017,70.8333333333333,1,1,1,0.5,1,0,1,0,1,1,1,0,50,1,1,0,1,0,1,0,0,80,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,100,1,1,1,1,1,1,1,75.2083333333333,CR,San Jose,-84.0089,9.63701,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Costa Rica,1,1,1,1,1,1,4949954
Cyprus,CYP,2017,83.3333333333333,0.5,1,1,0.5,1,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.6666666666667,1,0,0.5,0,1,1,0,1,1,0,0,1,1,1,0,42.8571428571429,1,0,0,1,1,0,0,NA,CY,Nicosia,33.3736,35.1676,ECS,Z7,Europe & Central Asia,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,Cyprus,0,1,1,1,0,0,1179680
Czech Republic,CZE,2017,87.5,1,1,1,0.5,1,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6666666666667,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,42.8571428571429,0,0,1,1,1,0,0,NA,CZ,Prague,14.4205,50.0878,ECS,Z7,Europe & Central Asia,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,Czech Republic,1,1,1,1,0,0,10594438
Germany,DEU,2017,87.5,1,1,1,0.5,1,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6666666666667,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,71.4285714285714,1,1,1,1,1,0,0,NA,DE,Berlin,13.4115,52.5235,ECS,Z7,Europe & Central Asia,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,Germany,1,1,1,1,0,0,82657002
Djibouti,DJI,2017,16.6666666666667,0,0,0,0,0,0,0,0.5,1,0.5,0,0,12.5,1,0,0,0,0,0,0,0,36.6666666666667,0.5,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,16.4583333333333,DJ,Djibouti,43.1425,11.5806,MEA,ZQ,Middle East & North Africa,MNA,XQ,Middle East & North Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,Djibouti,0,0,NA,NA,1,1,944097
Dominica,DMA,2017,41.6666666666667,0.5,0,0.5,0.5,1,0,0,0,1,0.5,1,0,12.5,1,0,0,0,0,0,0,0,23.3333333333333,0,0,0.5,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,19.375,DM,Roseau,-61.39,15.2976,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IDB,XH,Blend,NA,0,1,NA,NA,1,1,71458
Denmark,DNK,2017,83.3333333333333,1,1,1,1,1,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6666666666667,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,57.1428571428571,1,0,1,1,1,0,0,NA,DK,Copenhagen,12.5681,55.6763,ECS,Z7,Europe & Central Asia,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,Denmark,1,1,1,1,0,0,5764980
Dominican Republic,DOM,2017,54.1666666666667,1,0.5,1,0.5,1,0,1,0,1,0.5,0,0,50,1,0,0,1,0,1,1,0,56.6666666666667,1,0,0,0,0.5,0,1,1,1,0,0,1,1,1,1,57.1428571428571,0,1,1,1,1,0,0,54.4940476190476,DO,Santo Domingo,-69.8908,18.479,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Dominican Republic,0,0,1,0,1,1,10513131
Algeria,DZA,2017,25,0,0,0.5,0,1,0,0,0,1,0.5,0,0,25,1,0,1,0,0,0,0,0,46.6666666666667,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,14.2857142857143,0,0,1,0,0,0,0,27.7380952380952,DZ,Algiers,3.05097,36.7397,MEA,ZQ,Middle East & North Africa,MNA,XQ,Middle East & North Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Algeria,1,1,0,0,1,1,41389198
Ecuador,ECU,2017,50,1,0.5,1,0,1,0,0,0.5,1,1,0,0,62.5,1,0,1,1,0,1,0,1,73.3333333333333,1,1,0.5,0,0.5,1,1,1,1,0,0,1,1,1,1,71.4285714285714,1,1,1,1,1,0,0,64.3154761904762,EC,Quito,-78.5243,-0.229498,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Ecuador,0,1,1,0,1,1,16785361
"Egypt, Arab Rep.",EGY,2017,66.6666666666667,0.5,0.5,1,0.5,1,0,0,0.5,1,1,1,1,37.5,0,1,0,1,0,1,0,0,46.6666666666667,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,71.4285714285714,1,1,1,1,1,0,0,55.5654761904762,EG,Cairo,31.2461,30.0982,MEA,ZQ,Middle East & North Africa,MNA,XQ,Middle East & North Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,NA,0,0,1,1,1,1,96442593
